,precision,recall,f1-score,support
0,0.19,0.2,0.2,85.0
1,0.45,0.87,0.6,126.0
2,0.22,0.19,0.2,116.0
3,0.2,0.17,0.18,107.0
4,0.32,0.24,0.27,110.0
5,0.12,0.06,0.08,87.0
6,0.32,0.26,0.29,87.0
7,0.34,0.49,0.4,99.0
8,0.12,0.09,0.1,89.0
9,0.23,0.18,0.2,94.0
avg/total,0.25,0.28,0.25,1000.0
,gamma
value,1.0
,precision,recall,f1-score,support
0,0.16,0.16,0.16,85.0
1,0.43,0.85,0.57,126.0
2,0.2,0.18,0.19,116.0
3,0.16,0.1,0.13,107.0
4,0.25,0.2,0.22,110.0
5,0.13,0.07,0.09,87.0
6,0.33,0.3,0.31,87.0
7,0.32,0.45,0.38,99.0
8,0.13,0.1,0.11,89.0
9,0.23,0.17,0.2,94.0
avg/total,0.23,0.26,0.24,1000.0
,gamma
value,1.5
,precision,recall,f1-score,support
0,0.18,0.2,0.19,85.0
1,0.43,0.83,0.57,126.0
2,0.2,0.19,0.2,116.0
3,0.16,0.1,0.13,107.0
4,0.25,0.2,0.22,110.0
5,0.12,0.07,0.09,87.0
6,0.33,0.31,0.32,87.0
7,0.34,0.47,0.39,99.0
8,0.1,0.08,0.09,89.0
9,0.27,0.18,0.22,94.0
avg/total,0.24,0.26,0.24,1000.0
,gamma
value,2.0
,precision,recall,f1-score,support
0,0.18,0.2,0.19,85.0
1,0.43,0.84,0.57,126.0
2,0.17,0.16,0.16,116.0
3,0.14,0.08,0.11,107.0
4,0.22,0.17,0.19,110.0
5,0.11,0.06,0.07,87.0
6,0.34,0.3,0.32,87.0
7,0.34,0.45,0.39,99.0
8,0.08,0.07,0.08,89.0
9,0.23,0.19,0.21,94.0
avg/total,0.22,0.25,0.23,1000.0
,gamma
value,2.5
,precision,recall,f1-score,support
0,0.19,0.2,0.2,85.0
1,0.43,0.79,0.56,126.0
2,0.17,0.15,0.16,116.0
3,0.13,0.09,0.11,107.0
4,0.25,0.19,0.22,110.0
5,0.14,0.09,0.11,87.0
6,0.37,0.3,0.33,87.0
7,0.32,0.4,0.36,99.0
8,0.07,0.06,0.06,89.0
9,0.22,0.21,0.21,94.0
avg/total,0.23,0.25,0.23,1000.0
,gamma
value,3.0
,precision,recall,f1-score,support
0,0.2,0.19,0.19,85.0
1,0.45,0.76,0.56,126.0
2,0.16,0.15,0.15,116.0
3,0.12,0.11,0.12,107.0
4,0.23,0.19,0.21,110.0
5,0.14,0.09,0.11,87.0
